disputeId,total_jurors,votes_cast,votes_missed
0,10,7,3
1,10,10,0
2,10,10,0
3,3,3,0
4,3,3,0
5,3,3,0
6,3,3,0
7,3,3,0
8,3,3,0
9,16,16,0
10,3,3,0
11,3,3,0
12,3,3,0
13,10,9,1
14,5,5,0
15,3,3,0
16,16,15,1
17,39,36,3
18,3,3,0
19,3,3,0
20,3,3,0
21,5,5,0
22,3,3,0
23,3,3,0
24,3,3,0
25,3,3,0
26,3,3,0
27,3,3,0
28,3,3,0
29,3,3,0
30,3,2,1
31,3,2,1
32,3,3,0
33,3,3,0
34,3,3,0
35,3,3,0
36,3,3,0
37,3,3,0
38,3,3,0
39,3,2,1
40,3,3,0
41,3,3,0
42,3,3,0
43,3,3,0
44,10,9,1
45,3,3,0
46,25,25,0
47,3,3,0
48,3,3,0
49,3,3,0
50,3,3,0
51,3,3,0
52,3,3,0
53,10,9,1
54,3,3,0
55,3,3,0
56,10,9,1
57,10,10,0
58,3,3,0
59,3,3,0
60,3,3,0
61,5,4,1
62,5,5,0
63,3,3,0
64,3,3,0
65,3,2,1
66,3,3,0
67,3,3,0
68,10,8,2
69,56,52,4
70,3,3,0
71,3,2,1
72,3,1,2
73,3,3,0
74,3,3,0
75,3,3,0
76,3,2,1
77,3,3,0
78,3,3,0
79,3,3,0
80,3,3,0
81,56,54,2
82,39,34,5
83,5,3,2
84,3,3,0
85,3,3,0
86,5,5,0
87,3,3,0
88,3,2,1
89,5,5,0
90,3,3,0
91,3,3,0
92,3,3,0
93,3,3,0
94,3,3,0
95,16,15,1
96,3,3,0
97,3,2,1
98,3,3,0
99,3,2,1
100,3,3,0
101,3,3,0
102,5,3,2
103,3,3,0
104,5,4,1
105,3,3,0
106,3,3,0
107,3,3,0
108,3,0,3
109,3,3,0
110,3,2,1
111,5,5,0
112,3,3,0
113,3,3,0
114,3,2,1
115,3,3,0
116,3,2,1
117,3,3,0
118,3,3,0
119,3,2,1
120,3,3,0
121,3,2,1
122,25,24,1
123,3,3,0
124,3,3,0
125,3,3,0
126,3,1,2
127,3,3,0
128,3,2,1
129,3,3,0
130,3,3,0
131,3,3,0
132,25,18,7
133,3,3,0
134,3,3,0
135,25,21,4
136,10,10,0
137,10,10,0
138,3,3,0
139,3,3,0
140,3,3,0
141,3,3,0
142,3,3,0
143,3,3,0
144,3,3,0
145,3,2,1
146,3,3,0
147,3,3,0
148,3,0,3
149,3,3,0
150,3,3,0
151,3,3,0
152,3,3,0
153,3,3,0
154,3,2,1
155,1,1,0
156,3,2,1
157,6,6,0
158,50,47,3
159,30,30,0
160,3,3,0
161,10,9,1
162,10,7,3
163,3,2,1
164,3,3,0
165,3,2,1
166,3,1,2
167,3,1,2
168,25,17,8
169,31,11,20
170,31,11,20
171,3,1,2
172,3,1,2
173,3,3,0
174,5,5,0
175,7,7,0
176,3,2,1
177,5,5,0
178,7,7,0
179,31,30,1
180,31,30,1
181,31,28,3
182,3,3,0
183,3,2,1
184,3,1,2
185,3,2,1
186,7,7,0
187,5,5,0
188,5,5,0
189,7,6,1
190,5,5,0
191,3,1,2
192,5,5,0
193,7,7,0
194,3,2,1
195,5,4,1
196,7,7,0
197,3,3,0
198,3,3,0
199,3,2,1
200,7,7,0
201,7,7,0
202,3,2,1
203,3,2,1
204,31,29,2
205,3,2,1
