disputeNumber,arbitrationCost,jurorCount,costPerJuror,appealCount,costPerAppeal
0,0.66942185513,10,0.0669,1,0.3347
1,0.66942185513,10,0.0669,1,0.3347
10,0.195,3,0.065,0,0.195
100,0.195,3,0.065,0,0.195
1000,0.0,1,0.0,0,0.0
1001,0.028,1,0.028,0,0.028
1002,0.028,1,0.028,0,0.028
1003,0.028,1,0.028,0,0.028
1004,0.084,3,0.028,0,0.084
1005,0.084,3,0.028,0,0.084
1006,0.0,1,0.0,0,0.0
1007,0.084,3,0.028,0,0.084
1008,0.084,3,0.028,0,0.084
1009,0.028,1,0.028,0,0.028
101,0.195,3,0.065,0,0.195
1010,0.084,3,0.028,0,0.084
1011,0.028,1,0.028,0,0.028
1012,0.028,1,0.028,0,0.028
1013,0.028,1,0.028,0,0.028
1014,0.028,1,0.028,0,0.028
1015,0.028,1,0.028,0,0.028
1016,0.028,1,0.028,0,0.028
1017,0.028,1,0.028,0,0.028
1018,0.028,1,0.028,0,0.028
1019,0.0,1,0.0,0,0.0
102,2.75,5,0.55,0,2.75
1020,0.028,1,0.028,0,0.028
1021,0.028,1,0.028,0,0.028
1022,0.028,1,0.028,0,0.028
1023,0.028,1,0.028,0,0.028
1024,0.112,4,0.028,1,0.056
1025,0.028,1,0.028,0,0.028
1026,0.028,1,0.028,0,0.028
1027,0.0,1,0.0,0,0.0
1028,0.028,1,0.028,0,0.028
1029,0.028,1,0.028,0,0.028
103,0.195,3,0.065,0,0.195
1030,0.028,1,0.028,0,0.028
1031,0.028,1,0.028,0,0.028
1032,0.028,1,0.028,0,0.028
1033,0.028,1,0.028,0,0.028
1034,0.028,1,0.028,0,0.028
1035,0.028,1,0.028,0,0.028
1036,0.028,1,0.028,0,0.028
1037,0.028,1,0.028,0,0.028
1038,0.93,31,0.03,0,0.93
1039,0.028,1,0.028,0,0.028
104,2.75,5,0.55,0,2.75
1040,0.028,1,0.028,0,0.028
1041,0.028,1,0.028,0,0.028
1042,0.028,1,0.028,0,0.028
1043,0.028,1,0.028,0,0.028
1044,0.028,1,0.028,0,0.028
1045,0.028,1,0.028,0,0.028
1046,0.028,1,0.028,0,0.028
1047,0.028,1,0.028,0,0.028
1048,0.028,1,0.028,0,0.028
1049,0.0,3,0.0,0,0.0
105,0.372,3,0.124,0,0.372
1050,0.0,1,0.0,0,0.0
1051,0.0,1,0.0,0,0.0
1052,0.028,1,0.028,0,0.028
1053,0.028,1,0.028,0,0.028
1054,0.028,1,0.028,0,0.028
